product,narrative
debt_collection,paid account settlement told exchange settlement account removed credit report still reporting tried resolve issue company directly refuse talk hanging phone
credit_reporting,received recent credit report hard inquiry pulled credit report without consent authorization tried contact consumer received response removal fraud information report unknown nonconsent company credit pull capital onexxxx capital one auto finxxxx
retail_banking,deposited suntrust bank account suntrust able give lawful money open account requested giving full disclosure came attention sun trust fractionalized money account never consented loan customer fractionalization money
credit_reporting,day late ask company show proff failed acknowledge show proff violation credit reporting act
credit_reporting,reporting closed account year old violation fair credit reporting act
retail_banking,overdraft protection withdrawal received chase letter cath match permanent chase letter attached withdrawal overdraft protection see attached near overdraft protection twice charge day x bank fee increased although overdraft protection lot withdrawal slip writing total credit due
retail_banking,used cash app purchase number stock number fraudulent transaction occurred account resulting stolen
credit_reporting,account reporting inaccuarate false
credit_reporting,account reporting equifax mine liable account authorized user sent multiple letter dispute item directly equifax failed remove credit report
mortgages_and_loans,select portolio servicing trying payoff sell home company providing correct poa title company called given run around issue going since need help
credit_reporting,applying car loan one company applied denied due credit report sage stream never heard used service decision mailed score extremely low feel impacted decision
credit_reporting,submitted several dispute behalf account two late payment equifax corrected error put back past due day week confused manipulating credit profile also submitted dispute behalf correct error mistake gone uncorrected need fixed account never late
retail_banking,bank america closed account accused fraudulent activity reported completely inaccurate probably libelous need remove immediately
credit_reporting,credit bureau reporting chapter bankruptcy credit report account need removed immediately credit bureau already removed public record credit report
retail_banking,complaint related signup bonus opening saving account citi bank opened account met requirement receive signup bonus month passed received bonus credited account contacted banker many time find going keep saying allow day process credit every time called
retail_banking,contacted merchant pay pal supporting photograph receiving wrong product resolved since pay pal representative directed return product address upload tracking receipt called follow representative told wait email correspondence unhelpful assisting resolution three week open case product refund order
credit_card,credit card closed explanation left message bank one ever call back never type fraud account account always good standing credit limit always increased based spending
credit_reporting,shocked reviewed credit report found late payment date gm financial
debt_collection,received unsolicited text message claiming balance owed agency reference number business informed cfpb would mail proof alleged debt copy receipt showing paid full sixteen day later provided
retail_banking,customer bank switched pnc investing wanted pnc pnc allowing link debit remedied
credit_card,best buy credit card used fraudulent transaction company closed account reopened new number numerous dispute claim take care charge first reported incident company told charge would taken care went back word universal card customer year
credit_card,income tax check deposited account connected adp wisely payroll card deposited put card day calling searching end may
debt_collection,sent phishing email impersonating along letter trs recovery service ga stating collecting debt behalf contacted told scam never tried collect debt like report trs recovery service cfpb involvement
debt_collection,citi card trying collect debt supposedly yet found evening put judgement father actually found told never notified never served violation debt collecting also pandemic
credit_reporting,xxxxxxxxdispute xxxxunder dispute xxxxunder dispute xxxxunder dispute xxxxnder dispute xxxxunder dispute xxxxunder dispute xxxxnder dispute xxxxunder dispute xxxxunder dispute xxxxunder dispute xxxxunder disputxxxx idispute xxxxunder dispute filed ftc
credit_card,apply dispute received purchase order transaction bank denied claim
credit_card,applied paypal credit account reference number declined due able verify identity already account social security number also member several financial institution monitor credit every day credit want know come able verify open give social security need thanks
credit_reporting,able initiate online dispute collection credit reporting agency received system available massage agency equifax phone call resulted long wait bad connection able accomplish dispute
credit_reporting,acct amount acct amount acct amount acct amount acct amount
debt_collection,hello unfortunate debt keep popping credit profile advised victim identity theft removed however ha added report tarnishing credit score please rectify issue move forward life attached previous identity theft report
credit_card,credit card used gas station texas skimmer device used copy data credit card make unauthorized fraudulent transaction multiple gas station texas various amount police department informed skimmer device found gas station card initially used police department asked file complaint
debt_collection,portfolio recovery associate llc used obscene belligerent language requesting collect debt shown evidentiary document contract said company portfolio recovery associate llc violation usc
mortgages_and_loans,requested hardship modification upstart almost week almost month ago heard anything back keep saying going get back happening may cause negative credit reporting previously submitted hardship program information nothing changed done rather quickly
credit_reporting,gave formal complaint inaccurate information credit report day later date received response credit bureau federal law day complete investigation
credit_reporting,address show tooltip button select many apply xxxxxxxx tx single family tx single family tx single family tx single family xxxxxxxx tx single family dispute icon currently dispute xxxxxxxx xxxxxxxx tx single family dispute icon currently dispute mine
debt_collection,capital one auto finance trying collect report negative debt credit paid time ago reporting erroneously
retail_banking,would like login pnc online banking app called let
credit_reporting,equifax requested send verification document obtan credit report document sent still unable get credit report due fraudulent address file
credit_reporting,recently pulled credit report fradulent account opened credit report ruining credit unable use financial resource need family pandemic
credit_reporting,file dispute regard incorrect item credit report well day received investigation result
retail_banking,scammer hack account information deposited fake check wired self money bank trying tell pay fraud department take care issue usaa
credit_reporting,contacted experian numerous time letting know creditor run credit contact hard inquiry report hard inquiry experian report without authorization copy social security card police pretty much annoying
credit_card,shocked reviewing credit report found late payment date day late account set automatic withdraw believe made payment received statement
credit_reporting,contacted credit bureau regarding reporting bankruptcy report contacted bk court advised verify bk information disputed three reporting agency refused remove reporting report reporting fraudulently verification bk information
credit_reporting,name wrong alias name previous address report
credit_reporting,sent several dispute credit bureau experian yet send single correspondence respond dispute understand pandemic going still legally required provide result reporting inaccurate item credit file need fixed bureau required respond
credit_reporting,sent letter experian regarding inaccurate account credit report never replied sent second letter still reply day must fix remove account day experian violation fair credit reporting act sent proof identification letter say
credit_reporting,today met housing advisor review content credit report show account still owed according equifax paid student loan affecting process home purchasing say behind want removed please
mortgages_and_loans,check servicer misapplied fund totally incorrect account violating every financial regulation specifically check fund principal interest escrow applied specified correct account
credit_reporting,account listed past due inaccurate account heloc adjusted fixed rate mortgage account current paid agreed correct mistake asap xxxxxxxx
credit_reporting,sent certified letter disputing account reporting inaccurate credit report get result system verified accurate point file sue small court company due inaccurate reporting information
credit_reporting,account please remove victim identity theft thank
credit_reporting,requested investigation follow ups regarding inaccurate information report company ignored request violating right
retail_banking,tfc bank closed bank account without written verbal communication woukd briefly give quick reason give remaining portion account closed warning new account made bank idea didnt open account dont know account number could even know turn get help
credit_reporting,receivables management reporting account credit file debt paid settled recently checked credit noticed debt showing debt paid year ago assured account would removed credit however year later still need remove account immediately debt longer owed need removed credit
credit_reporting,trying get insurance vehicle time every time get quote either come back high ineligible ask get told could credit history good finally decided pull credit report found thing never applied including bankruptcy item mine please remove report immediately bankruptcy
credit_reporting,company dodging duty telling complaint sent submitting letter along selfie holding id verify identity
credit_reporting,numerous occasion asked requested demanded major reporting credit agency remove fraud alert statement attached credit profile seemingly credit agency somehow looked request im filing official complaint requesting major credit bureau experian remove fraud alert statement credit profile
credit_reporting,reporting incorrect amount falsey reporting charged please correct balance remove please remove due statue limitation reached investigation tried different time result nothing changed
credit_reporting,spoke equifax said removed freeze said would fax driver license social security card written request telling wo lifted possibly refused let via phone account show lifted click credit report say frozen
credit_card,authorize auto credit inquiry account
credit_reporting,check seen national credit card co currently reporting credit report affiliation company sign anything company fraud recommend close account immediately reach question need help anything
debt_collection,nationwide collection keep harassing phone call everyday different number account people honor debt dont know harassing never account number called
credit_card,cap one letter dated still chargeback credit still pending credited understand letter need info paragraph say decision remains unchanged decision referring credit afforded need info state emergency cancelled domestic flight flight get refunded capital one expalin please
credit_reporting,submitted dispute via certified mail noting inaccurate information reported credit report requested information question lawfully validated removed received validation response submitted follow dispute received validation response
credit_reporting,tried trans union correct inaccurate information also notified fact violation federally protected consumer right yet delete information per request update consumer report
mortgages_and_loans,called santander filed complaint regarding releasing title included ch bankruptcy successful discharge currently title still name santander
credit_reporting,fraudulent account listed account asked company send information concerning account sent information another creditor never account filed identity theft report ftc report number attached copy report complaint please remove fraudulent account credit report sane way done end
credit_reporting,get credit inquiry credit report
retail_banking,previously completed complaint sure made correctly wanted make sure received attachment sending applied maryland send whole packet reason able send necessary page previous id thanks
debt_collection,southwest credit system report fraudulently credit bureau reference information given acct contract date collection date service address ga account reporting credit bureau fraudulently
debt_collection,phoenix collection called said owed told payed bill directly year ago canceled check guy said ok sent bill marked credit unpaid apperently trying extort collection fee
debt_collection,company failed show proof verified information proof account amount owed account three proof ever account verified three credit bureau attempted ask knowledgable accurate information company supplied
debt_collection,lease forgiving due allowed student leave since allowed leave advised would take care outstanding balance per lease agreement act
debt_collection,company placed collection account result identity theft previously notified still attempting collect fraudulent account placed credit report despite advising identity theft included additional identity theft affidavit recently filed support claim
debt_collection,asked verification debt appeared credit report validate debt simply asked collector send signed medical document hipaa release itemized list showing debt send method validation date alleged hospital visit per fdcpa need removed unless furnish requested documentation within day
credit_reporting,tranunion arent complying dispute request attached letter ive submitted three bureau document section
credit_reporting,credit agency continues report owed purchased original creditor removed two credit bureau
mortgages_and_loans,injured put therefore income decreased fell behind making payment
credit_card,company offered phony promotion statement insert claiming receive statement credit making single transaction purchase gas station qualified making required purchase
credit_reporting,pulled credit alerted social security card getting stolen see list derogatory item mine including bankruptcy account fraudulent need deleted please remove unknown account name chapter bankruptcy dismissed chapter bankruptcy xxxxxxxx
credit_reporting,disputed account multiple time continues appear credit report
credit_card,american express opened card wife name included application
credit_reporting,experian wrong dob listed credit report along incorrect name address telephone number ssn called disputed time since allow dispute line file still incorrect
debt_collection,notified regarding substantial decrease credit score due appearance new account upon reviewing credit report three credit bureau noticed appearance collection filed sequium asset solution llc regarding debt owed never notified debt sequium assat solution account routinely timely paid
credit_reporting,deptednelnet account reporting similar inaccuracy late day remark coming right good payment
credit_reporting,trying get insurance vehicle time every time get quote either come back high ineligible ask get told could credit history good finally decided pull credit report found thing never applied item mine please remove report immediately contacted ftc local police behalf please remove report
mortgages_and_loans,time uncertainty purchased vehicle year old asked collection representative would like change car payment due date month stalled rep told perform extra activity usauto servicing change due date time initial sale contract due
debt_collection,collector keep calling cell skip tracing mother debt client trf
debt_collection,check credit report notice collection mj altman company inc debt mine never owed anything removed credit report consult attached copy letter
retail_banking,opened well fargo business checking account promised promotional bonus still received called emailed multiple well fargo honoring promotional bonus promised denied bonus
credit_card,citi thankyou preferred master credit card couple year single late payment issue good customer requested online representative increase credit line approve good credit score well
debt_collection,consolidated recovery say owe debt company worked someone opened intuit merchant account name social security number knowledge never signed keep trying explain consolidated recovery keep harnessing put credit report received letter saying taking legal action
debt_collection,received letter stating owe never missed payment last year business continued current customer type scam company need shut letter opened letter dated
mortgages_and_loans,spoke lender requested extend forbearance plan due financial problem related confirmed loss mitigation department shellpoint forbearance extended however received word saying note forbearance extended placed sale date home believe illegal
debt_collection,getting text message mr associate saying collecting debt keep reporting spam blocking number continue text different number aware debt debt legitimate received written notification called company told remove list continue get text
